id,dataset,user,userX,userY,nComp,compX,compY,nSeats,seatX,seatY,nDoors,doorX,doorY
16,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,860;871;822;841;753;831;776;803;839;890;856;702;898;815;842;859;862;823;894;858,75;56;83;92;70;66;76;70;80;96;57;77;57;90;82;82;97;47;91;74,7,87;288;380;666;1063;1206;1427,79;54;96;65;99;55;69,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
17,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,802;651;827;806;637;773;875;782;875;884;845;770;760;666;822;805;865;851;896;864,75;62;51;52;74;62;56;61;49;50;54;69;65;54;73;76;55;55;48;74,7,292;363;454;746;1057;1146;1226,97;51;97;82;54;95;46,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
18,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,366;1017;1162;775;502;801;1130;770;473;891;330;1072;757;397;528;1143;867;490;891;957,68;87;61;98;78;77;94;89;60;101;86;70;85;55;67;87;101;58;91;98,8,288;449;672;831;1051;1232;1430;94,57;96;80;50;52;95;69;68,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
19,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,651;636;378;669;1258;734;680;740;639;631;674;811;1259;677;1290;1261;1237;1225;624;1255,74;97;54;92;77;78;88;91;93;86;97;68;71;79;55;93;89;71;67;96,8,290;392;500;836;853;1029;1041;1061,59;99;49;53;95;97;57;88,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
20,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,1156;1021;844;436;1138;1110;450;916;1076;1049;436;1029;1050;1103;1119;490;1063;1139;994;1062,75;94;47;91;75;65;90;75;79;73;64;72;68;55;74;78;89;77;64;65,8,224;206;206;226;240;680;828;1296,108;97;70;70;92;59;87;35,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
21,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,483;490;445;1251;505;432;469;602;431;512;467;495;483;1236;1303;484;475;421;504;1335,70;50;66;44;75;77;92;74;108;99;99;70;74;85;78;67;96;68;92;73,9,1021;1004;980;981;995;1013;849;685;246,58;45;53;77;95;88;58;68;45,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
22,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,363;267;1201;350;1141;1167;1209;857;305;242;279;1018;542;1247;1301;1222;1241;260;1006;294,75;54;58;55;74;69;87;81;84;53;92;66;77;76;70;72;93;104;99;74,10,611;592;596;611;627;625;678;740;825;1000,109;94;68;54;94;70;96;51;73;43,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
23,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,1150;251;816;784;1258;755;383;531;1174;1257;1241;1067;1241;1186;1236;1202;476;1226;243;1222,83;48;58;104;70;46;63;79;71;99;85;72;73;73;74;88;53;68;47;76,12,555;567;586;618;616;896;941;920;958;980;1031;331,54;91;52;109;68;50;64;97;35;75;52;94,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
24,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,779;243;1159;1071;883;1064;758;878;836;243;1074;1202;1142;825;151;1149;233;748;993;778,78;88;91;90;76;69;71;97;55;108;84;75;75;98;79;89;55;46;49;72,12,535;556;593;578;613;331;943;1289;1278;1311;1316;1348,47;94;110;68;37;56;83;47;89;106;72;52,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
25,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,106;245;722;437;256;1101;266;206;288;249;747;362;758;278;144;212;1089;1051;518;745,70;49;93;50;75;77;47;66;61;56;95;85;75;55;69;85;95;65;101;73,12,555;567;586;618;616;896;941;920;958;980;1200;331,54;91;52;109;68;50;64;97;35;75;52;94,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
26,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,1152;258;275;721;881;312;291;738;323;617;298;374;993;333;235;270;1208;286;619;333,77;51;62;70;78;57;57;55;71;36;87;56;82;94;52;72;57;58;44;91,13,161;206;480;450;450;667;798;834;1044;1089;1201;1321;1423,50;96;63;93;60;90;93;49;52;92;96;38;91,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
27,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,517;271;1178;727;1142;1190;277;716;1248;618;1230;1112;760;732;607;516;686;655;985;713,79;49;54;49;76;69;54;52;52;45;52;70;73;52;59;79;52;49;96;49,13,161;206;313;459;421;667;798;834;1044;1089;1201;1321;1423,50;96;83;63;93;90;93;49;52;92;96;38;91,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
28,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,396;263;425;434;881;1118;1111;775;1100;424;406;404;759;428;219;867;1102;397;883;1127,82;53;50;49;80;62;69;59;55;64;97;76;76;48;76;85;58;58;97;63,26,459;343;300;676;707;817;1055;956;944;594;560;223;189;1172;1194;1217;1289;1340;1295;1345;1437;914;539;154;89;788,85;64;89;52;82;58;87;49;104;98;42;128;53;77;58;89;31;83;115;39;65;37;113;117;66;96,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
29,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,1157;1239;1170;1222;1139;1193;1202;1028;1235;1279;1223;1141;1157;952;1298;1083;1002;1197;1000;1219,74;93;60;90;70;71;91;101;92;106;72;69;73;55;56;82;57;91;59;85,28,82;96;151;183;208;192;222;279;314;344;383;402;418;452;469;539;555;604;666;711;751;797;868;963;1054;1138;1251;1352,56;93;62;34;121;87;56;90;49;93;50;89;72;48;90;103;45;84;57;95;54;90;52;97;63;94;47;88,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
30,mv2,rui;joris;essi;pramada;temi;kim;han;setayesh;boshra;deborah;pat;demircan;vlada;jehanzeb;maryam;rose;reggie;sarine;rania;dimitrios,1152;1244;1079;276;261;298;300;516;1217;1263;293;1099;1138;1164;1152;257;262;278;361;277,77;100;54;98;75;72;99;87;86;97;97;73;76;95;88;75;92;88;67;100,29,137;336;443;512;564;633;1401;1213;1090;1002;944;873;817;853;795;771;669;701;713;732;664;822;847;880;629;539;988;741;766,51;54;85;49;80;55;94;56;97;51;78;52;58;84;86;61;61;77;60;87;88;87;60;96;93;118;115;66;88,46,93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424;93;280;313;347;379;414;446;480;661;694;728;760;794;827;861;1040;1073;1107;1139;1173;1205;1240;1424,19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;19;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128;128,8,191;570;952;1330;191;570;952;1330,5;5;5;5;144;144;144;144
